Ano,Mes,Resp
1969,1,7.78
1969,2,7.351
1969,3,8.317
1969,4,8.036
1969,5,8.424
1969,6,8.300
1969,7,8.985
1969,8,8.589
1969,9,8.564
1969,10,8.614
1969,11,8.102
1969,12,8.044
1970,1,8.209
1970,2,7.738
1970,3,8.828
1970,4,9.150
1970,5,8.960
1970,6,9.282
1970,7,9.934
1970,8,9.546
1970,9,9.572
1970,10,10.272
1970,11,9.991
1970,12,9.537
1971,1,8.761
1971,2,8.501
1971,3,9.642
1971,4,9.058
1971,5,9.256
1971,6,9.799
1971,7,10.828
1971,8,11.063
1971,9,10.652
1971,10,11.278
1971,11,10.661
1971,12,10.500
1972,1,9.759
1972,2,9.876
1972,3,10.664
1972,4,10.110
1972,5,11.055
1972,6,11.615
1972,7,11.730
1972,8,12.587
1972,9,12.046
1972,10,12.852
1972,11,12.259
1972,12,12.214
1973,1,11.798
1973,2,11.278
1973,3,11.945
1973,4,11.695
1973,5,12.734
1973,6,13.405
1973,7,13.836
1973,8,14.388
1973,9,14.069
1973,10,15.519
1973,11,14.680
1973,12,14.104
1974,1,13.577
1974,2,12.451
1974,3,13.856
1974,4,13.812
1974,5,14.280
1974,6,13.692
1974,7,15.502
1974,8,15.423
1974,9,14.947
1974,10,16.031
1974,11,14.462
1974,12,13.791
1975,1,13.608
1975,2,12.794
1975,3,13.889
1975,4,14.555
1975,5,14.545
1975,6,15.114
1975,7,15.886
1975,8,15.541
1975,9,15.770
1975,10,16.375
1975,11,15.386
1975,12,14.927
1976,1,14.829
1976,2,15.297
1976,3,16.330
1976,4,15.807
1976,5,16.623
1976,6,17.196
1976,7,17.691
1976,8,18.012
1976,9,17.625
1976,10,18.244
1976,11,17.102
1976,12,16.744